n,value,time_taken
1,1e0,0.0
2,1e0,0.0
3,1e0,0.0
4,2e0,0.0
5,3e0,0.0
6,5e0,0.0
7,8e0,0.0
8,1.3e1,0.0
9,2.1e1,0.0
10,3.4e1,0.0
11,5.5e1,0.0
12,8.9e1,0.0
13,1.44e2,0.0
14,2.33e2,0.0
15,3.77e2,0.0
16,6.1e2,0.0
17,9.87e2,0.0
18,1.6e3,0.0
19,2.58e3,0.0
20,4.18e3,0.0
21,6.76e3,0.0
22,1.09e4,0.0
23,1.77e4,0.0
24,2.87e4,0.0
25,4.64e4,0.0
26,7.5e4,0.0
27,1.21e5,0.0
28,1.96e5,0.0
29,3.18e5,0.0
30,5.14e5,0.0
31,8.32e5,0.0
32,1.35e6,0.0
33,2.18e6,0.0
34,3.52e6,0.0
35,5.7e6,0.0
36,9.23e6,0.0
37,1.49e7,0.0
38,2.42e7,0.0
39,3.91e7,0.0
40,6.32e7,0.0
41,1.02e8,0.0
42,1.66e8,0.0
43,2.68e8,0.0
44,4.33e8,0.0
45,7.01e8,0.0
46,1.13e9,0.0
47,1.84e9,0.0
48,2.97e9,0.0
49,4.81e9,0.0
50,7.78e9,0.0
51,1.26e10,0.0
52,2.04e10,0.0
53,3.3e10,0.0
54,5.33e10,0.0
55,8.63e10,0.0
56,1.4e11,0.0
57,2.26e11,0.0
58,3.65e11,0.0
59,5.91e11,0.0
60,9.57e11,0.0
61,1.55e12,0.0
62,2.5e12,0.0
63,4.05e12,0.0
64,6.56e12,0.0
65,1.06e13,0.0
66,1.72e13,0.0
67,2.78e13,0.0
68,4.49e13,0.0
69,7.27e13,0.0
70,1.18e14,0.0
71,1.9e14,0.0
72,3.08e14,0.0
73,4.98e14,0.0
74,8.07e14,0.0
75,1.3e15,0.0
76,2.11e15,0.0
77,3.42e15,0.0
78,5.53e15,0.0
79,8.94e15,0.0
80,1.45e16,0.0
81,2.34e16,0.0
82,3.79e16,0.0
83,6.13e16,0.0
84,9.92e16,0.0
85,1.61e17,0.0
86,2.6e17,0.0
87,4.2e17,0.0
88,6.8e17,0.0
89,1.1e18,0.0
90,1.78e18,0.0
91,2.88e18,0.0
92,4.66e18,0.0
93,7.54e18,0.0
94,1.22e19,0.0
95,1.97e19,0.0
96,3.19e19,0.0
97,5.17e19,0.0
98,8.36e19,0.0
99,1.35e20,0.0
100,2.19e20,0.0
101,3.54e20,0.0
102,5.73e20,0.0
103,9.27e20,0.0
104,1.5e21,0.0
105,2.43e21,0.0
106,3.93e21,0.0
107,6.36e21,0.0
108,1.03e22,0.0
109,1.66e22,0.0
110,2.69e22,0.0
111,4.36e22,0.0
112,7.05e22,0.0
113,1.14e23,0.0
114,1.85e23,0.0
115,2.99e23,0.0
116,4.83e23,0.0
117,7.82e23,0.0
118,1.26e24,0.0
119,2.05e24,0.0
120,3.31e24,0.0
121,5.36e24,0.0
122,8.67e24,0.0
123,1.4e25,0.0
124,2.27e25,0.0
125,3.67e25,0.0
126,5.94e25,0.0
127,9.62e25,0.0
128,1.56e26,0.0
129,2.52e26,0.0
130,4.07e26,0.0
131,6.59e26,0.0
132,1.07e27,0.0
133,1.73e27,0.0
134,2.79e27,0.0
135,4.52e27,0.0
136,7.31e27,0.0
137,1.18e28,0.0
138,1.91e28,0.0
139,3.1e28,0.0
140,5.01e28,0.0
141,8.11e28,0.0
142,1.31e29,0.0
143,2.12e29,0.0
144,3.43e29,0.0
145,5.56e29,0.0
146,8.99e29,0.0
147,1.45e30,0.0
148,2.35e30,0.0
149,3.81e30,0.0
150,6.16e30,0.0
151,9.97e30,0.0
152,1.61e31,0.0
153,2.61e31,0.0
154,4.22e31,0.0
155,6.83e31,0.0
156,1.11e32,0.0
157,1.79e32,0.0
158,2.89e32,0.0
159,4.68e32,0.0
160,7.58e32,0.0
161,1.23e33,0.0
162,1.98e33,0.0
163,3.21e33,0.0
164,5.19e33,0.0
165,8.4e33,0.0
166,1.36e34,0.0
167,2.2e34,0.0
168,3.56e34,0.0
169,5.76e34,0.0
170,9.32e34,0.0
171,1.51e35,0.0
172,2.44e35,0.0
173,3.95e35,0.0
174,6.39e35,0.0
175,1.03e36,0.0
176,1.67e36,0.0
177,2.71e36,0.0
178,4.38e36,0.0
179,7.08e36,0.0
180,1.15e37,0.0
181,1.85e37,0.0
182,3e37,0.0
183,4.86e37,0.0
184,7.86e37,0.0
185,1.27e38,0.0
186,2.06e38,0.0
187,3.33e38,0.0
188,5.39e38,0.0
189,8.71e38,0.0
190,1.41e39,0.0
191,2.28e39,0.0
192,3.69e39,0.0
193,5.97e39,0.0
194,9.66e39,0.0
195,1.56e40,0.0
196,2.53e40,0.0
197,4.09e40,0.0076067447662353516
198,6.62e40,0.0
199,1.07e41,0.0
200,1.73e41,0.0
201,2.81e41,0.0
202,4.54e41,0.0
203,7.35e41,0.0
204,1.19e42,0.0
205,1.92e42,0.0
206,3.11e42,0.0
207,5.03e42,0.0
208,8.15e42,0.0
209,1.32e43,0.0
210,2.13e43,0.0
211,3.45e43,0.0
212,5.58e43,0.0
213,9.03e43,0.0
214,1.46e44,0.0
215,2.37e44,0.0
216,3.83e44,0.0
217,6.19e44,0.0
218,1e45,0.0
219,1.62e45,0.0
220,2.62e45,0.0
221,4.24e45,0.0
222,6.87e45,0.0
223,1.11e46,0.0
224,1.8e46,0.0
225,2.91e46,0.0
226,4.71e46,0.0
227,7.62e46,0.0
228,1.23e47,0.0
229,1.99e47,0.0
230,3.23e47,0.0
231,5.22e47,0.0
232,8.45e47,0.0
233,1.37e48,0.0
234,2.21e48,0.0
235,3.58e48,0.0
236,5.79e48,0.0
237,9.37e48,0.0
238,1.52e49,0.0
239,2.45e49,0.0
240,3.97e49,0.0
241,6.42e49,0.0
242,1.04e50,0.0
243,1.68e50,0.0
244,2.72e50,0.0
245,4.4e50,0.0
246,7.12e50,0.0
247,1.15e51,0.0
248,1.86e51,0.0
249,3.02e51,0.0
250,4.88e51,0.0
251,7.9e51,0.0
252,1.28e52,0.0
253,2.07e52,0.0
254,3.34e52,0.0
255,5.41e52,0.0
256,8.76e52,0.0
257,1.42e53,0.0
258,2.29e53,0.0
259,3.71e53,0.0
260,6e53,0.0
261,9.71e53,0.0
262,1.57e54,0.0
263,2.54e54,0.0
264,4.11e54,0.0
265,6.66e54,0.0
266,1.08e55,0.0
267,1.74e55,0.0
268,2.82e55,0.0
269,4.56e55,0.0
270,7.38e55,0.0
271,1.19e56,0.0
272,1.93e56,0.0
273,3.13e56,0.0
274,5.06e56,0.0
275,8.19e56,0.0
276,1.32e57,0.0
277,2.14e57,0.0
278,3.47e57,0.0
279,5.61e57,0.0
280,9.08e57,0.0
281,1.47e58,0.0
282,2.38e58,0.0
283,3.85e58,0.0
284,6.22e58,0.0
285,1.01e59,0.0
286,1.63e59,0.0
287,2.64e59,0.0
288,4.27e59,0.0
289,6.9e59,0.0
290,1.12e60,0.0
291,1.81e60,0.0
292,2.92e60,0.0
293,4.73e60,0.0
294,7.65e60,0.0
295,1.24e61,0.0
296,2e61,0.0
297,3.24e61,0.0
298,5.25e61,0.0
299,8.49e61,0.0
300,1.37e62,0.0
301,2.22e62,0.0
302,3.6e62,0.0
303,5.82e62,0.0
304,9.41e62,0.0
305,1.52e63,0.0
306,2.46e63,0.0
307,3.99e63,0.0
308,6.45e63,0.0
309,1.04e64,0.0
310,1.69e64,0.0
311,2.73e64,0.0
312,4.42e64,0.0
313,7.16e64,0.0
314,1.16e65,0.0
315,1.87e65,0.0
316,3.03e65,0.0
317,4.9e65,0.0
318,7.94e65,0.0
319,1.28e66,0.0
320,2.08e66,0.0
321,3.36e66,0.0
322,5.44e66,0.0
323,8.8e66,0.0
324,1.42e67,0.0
325,2.3e67,0.0
326,3.73e67,0.0
327,6.03e67,0.0
328,9.76e67,0.0
329,1.58e68,0.0
330,2.56e68,0.0
331,4.13e68,0.0
332,6.69e68,0.0
333,1.08e69,0.0
334,1.75e69,0.0
335,2.83e69,0.0
336,4.59e69,0.0
337,7.42e69,0.0
338,1.2e70,0.0
339,1.94e70,0.0
340,3.14e70,0.0
341,5.09e70,0.0
342,8.23e70,0.0
343,1.33e71,0.0
344,2.15e71,0.0
345,3.49e71,0.0
346,5.64e71,0.0
347,9.13e71,0.0
348,1.48e72,0.0
349,2.39e72,0.0
350,3.87e72,0.0
351,6.25e72,0.0
352,1.01e73,0.0
353,1.64e73,0.0
354,2.65e73,0.0
355,4.29e73,0.0
356,6.94e73,0.0
357,1.12e74,0.0
358,1.82e74,0.0
359,2.94e74,0.0
360,4.75e74,0.0
361,7.69e74,0.0
362,1.24e75,0.0
363,2.01e75,0.0
364,3.26e75,0.0
365,5.27e75,0.0
366,8.53e75,0.0
367,1.38e76,0.0
368,2.23e76,0.0
369,3.61e76,0.0
370,5.85e76,0.0
371,9.46e76,0.0
372,1.53e77,0.0
373,2.48e77,0.0
374,4.01e77,0.0
375,6.48e77,0.0
376,1.05e78,0.0
377,1.7e78,0.0
378,2.75e78,0.0
379,4.44e78,0.0
380,7.19e78,0.0
381,1.16e79,0.0
382,1.88e79,0.0
383,3.05e79,0.0
384,4.93e79,0.0
385,7.98e79,0.0
